refArea,PercentageofEducationlevelofresidents-illeterate,PercentageofSchooldropout,Data Domain,Observation URI,references,PercentageofEducationlevelofresidents-university,publisher,PercentageofEducationlevelofresidents-secondary,PercentageofEducationlevelofresidents-intermediate,PercentageofEducationlevelofresidents-vocational,PercentageofEducationlevelofresidents-elementary,PercentageofEducationlevelofresidents-highereducation,refArea District,refArea Governorate,Town,dataset
,1e+01,5e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Drafil,https://impact.cib.gov.lb/home#open_data_section,1e+01,Impact Open Data,2e+01,2.5e+01,1e+01,2e+01,5e+00,http://dbpedia.org/resource/Aley_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Drafil,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,1e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ed-Delb,https://impact.cib.gov.lb/home#open_data_section,1.6e+01,Impact Open Data,3.5e+01,3e+01,1e+01,5e+00,3e+00,http://dbpedia.org/resource/Sidon_District,https://dbpedia.org/page/South_Governorate,Aain Ed-Delb,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,2e+01,5e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ed-Delbe,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,1e+01,1e+01,2e+01,2e+01,0e+00,http://dbpedia.org/resource/Byblos_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Ed-Delbe,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,0e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ej-Jdideh+Aaley,https://impact.cib.gov.lb/home#open_data_section,3.5e+01,Impact Open Data,3.5e+01,1e+01,1e+01,5e+00,5e+00,http://dbpedia.org/resource/Aley_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Ej-Jdideh Aaley,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,0e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+El+Saydeh,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+00,5e+00,1e+01,5.3e+01,1e+01,http://dbpedia.org/resource/Aley_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain El Saydeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,5e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+El-Ghouaybeh,https://impact.cib.gov.lb/home#open_data_section,3e+01,Impact Open Data,2e+01,1.5e+01,1e+01,1e+01,1e+01,http://dbpedia.org/resource/Byblos_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain El-Ghouaybeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,2e+00,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+El-Kharroubeh,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,3e+01,NaN,5e+00,NaN,NaN,http://dbpedia.org/resource/Matn_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain El-Kharroubeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,0e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+El-Qabu,https://impact.cib.gov.lb/home#open_data_section,2.5e+01,Impact Open Data,2e+01,2e+01,1e+01,1e+01,1.5e+01,http://dbpedia.org/resource/Matn_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain El-Qabu,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,NaN,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Er-Rihane,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,http://dbpedia.org/resource/Keserwan_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Er-Rihane,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,NaN,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Er-Roummaneh+Aaley,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,http://dbpedia.org/resource/Aley_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Er-Roummaneh Aaley,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,3e+00,1e+01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Es-Sindiane,https://impact.cib.gov.lb/home#open_data_section,3.5e+01,Impact Open Data,3e+01,1.5e+01,2e+00,1e+01,5e+00,http://dbpedia.org/resource/Matn_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Es-Sindiane,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,0e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Et-Teffaha,https://impact.cib.gov.lb/home#open_data_section,3e+01,Impact Open Data,3e+01,1e+01,5e+00,2e+01,5e+00,http://dbpedia.org/resource/Matn_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Et-Teffaha,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,5e+00,5e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Et-Tineh-Miniyeh,https://impact.cib.gov.lb/home#open_data_section,3e+01,Impact Open Data,2e+01,1.8e+01,2e+01,5e+00,2e+00,http://dbpedia.org/resource/MiniyehÃ¢Â€Â“Danniyeh_District,https://dbpedia.org/page/North_Governorate,Aain Et-Tineh-Miniyeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,2e+01,2e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ez-Zeit,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,1.5e+01,1.5e+01,1.5e+01,1.5e+01,5e+00,http://dbpedia.org/resource/Akkar_District,https://dbpedia.org/page/Akkar_Governorate,Aain Ez-Zeit,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,0e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ez-Zeitouneh,https://impact.cib.gov.lb/home#open_data_section,3.5e+01,Impact Open Data,1e+01,2e+01,1e+01,1e+01,1.5e+01,http://dbpedia.org/resource/Matn_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Ez-Zeitouneh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,NaN,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Fraidis,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,http://dbpedia.org/resource/Aley_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Fraidis,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,3e+00,2e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Harsha,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,3e+01,3e+01,2e+00,1e+01,5e+00,http://dbpedia.org/resource/Rashaya_District,https://dbpedia.org/page/Beqaa_Governorate,Aain Harsha,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,2e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ibl,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+01,2e+01,1.5e+01,1.3e+01,1e+01,http://dbpedia.org/resource/Bint_Jbeil_District,https://dbpedia.org/page/Nabatieh_Governorate,Aain Ibl,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,2e+01,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Jarfa,https://impact.cib.gov.lb/home#open_data_section,8e+00,Impact Open Data,1e+01,1.5e+01,2.5e+01,2e+01,2e+00,http://dbpedia.org/resource/Hasbaya_District,https://dbpedia.org/page/Nabatieh_Governorate,Aain Jarfa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,1e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Jrain,https://impact.cib.gov.lb/home#open_data_section,2.2e+01,Impact Open Data,2e+01,4e+01,1e+01,3e+00,4e+00,http://dbpedia.org/resource/Byblos_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Jrain,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,0e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Kfaa,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+01,2e+01,1e+01,1e+01,2e+01,http://dbpedia.org/resource/Byblos_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Kfaa,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,1.5e+01,1e+01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Kfar+Zabad,https://impact.cib.gov.lb/home#open_data_section,1e+01,Impact Open Data,2e+01,2e+01,1e+01,2e+01,5e+00,http://dbpedia.org/resource/ZahlÃƒÂ©_District,https://dbpedia.org/page/Beqaa_Governorate,Aain Kfar Zabad,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,0e+00,2e+01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ksour,https://impact.cib.gov.lb/home#open_data_section,3e+01,Impact Open Data,2e+01,1e+01,5e+00,3e+01,5e+00,http://dbpedia.org/resource/Aley_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Ksour,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,1e+01,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Mouaffaq,https://impact.cib.gov.lb/home#open_data_section,1e+01,Impact Open Data,2e+01,2.5e+01,1e+01,1.5e+01,1e+01,http://dbpedia.org/resource/Baabda_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Mouaffaq,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,8e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Ouzain,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+01,2e+01,1e+01,2e+01,2e+00,http://dbpedia.org/resource/Chouf_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Ouzain,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,NaN,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Qana,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,http://dbpedia.org/resource/Nabatieh_District,https://dbpedia.org/page/Nabatieh_Governorate,Aain Qana,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,5e+00,1e+01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Qania,https://impact.cib.gov.lb/home#open_data_section,6e+01,Impact Open Data,4e+01,3e+01,2e+01,3e+01,1e+01,http://dbpedia.org/resource/Chouf_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Qania,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,2e+00,2e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Qinia,https://impact.cib.gov.lb/home#open_data_section,2e+00,Impact Open Data,1.5e+01,2e+01,1e+01,5e+01,1e+00,http://dbpedia.org/resource/Hasbaya_District,https://dbpedia.org/page/Nabatieh_Governorate,Aain Qinia,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,NaN,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Saadeh,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,http://dbpedia.org/resource/Matn_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Saadeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,1e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Tinta,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,5e+01,3e+01,1e+00,2e+00,1e+00,http://dbpedia.org/resource/Akkar_District,https://dbpedia.org/page/Akkar_Governorate,Aain Tinta,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,3e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Traz,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,3e+01,2.5e+01,1e+01,1e+01,2e+00,http://dbpedia.org/resource/Aley_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Traz,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,5e+00,1e+01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Yaaqoub,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,2e+01,1.5e+01,2e+01,1.5e+01,5e+00,http://dbpedia.org/resource/Akkar_District,https://dbpedia.org/page/Akkar_Governorate,Aain Yaaqoub,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,0e+00,0e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Zebdeh,https://impact.cib.gov.lb/home#open_data_section,2.7e+01,Impact Open Data,2e+01,2.2e+01,9e+00,2e+01,2e+00,http://dbpedia.org/resource/Western_Beqaa_District,https://dbpedia.org/page/Beqaa_Governorate,Aain Zebdeh,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,1e+01,1.5e+01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+Zhalta,https://impact.cib.gov.lb/home#open_data_section,2e+01,Impact Open Data,1.5e+01,1.5e+01,2e+01,1e+01,1e+01,http://dbpedia.org/resource/Chouf_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain Zhalta,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,5e+00,1e+01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aain+challal,https://impact.cib.gov.lb/home#open_data_section,1e+01,Impact Open Data,1e+01,5e+01,1e+01,1e+01,5e+00,http://dbpedia.org/resource/Byblos_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aain challal,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,NaN,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aainbal,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,http://dbpedia.org/resource/Chouf_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aainbal,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,1e+00,2e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaita+Ej-Jabal,https://impact.cib.gov.lb/home#open_data_section,1.5e+01,Impact Open Data,3e+01,2e+01,2e+01,9e+00,5e+00,http://dbpedia.org/resource/Bint_Jbeil_District,https://dbpedia.org/page/Nabatieh_Governorate,Aaita Ej-Jabal,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,2e+00,3e+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aaiyat,https://impact.cib.gov.lb/home#open_data_section,1e+01,Impact Open Data,2e+01,3e+01,5e+00,3e+01,3e+00,http://dbpedia.org/resource/Akkar_District,https://dbpedia.org/page/Akkar_Governorate,Aaiyat,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
,NaN,NaN,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Educational_Level-Aajaltoun,https://impact.cib.gov.lb/home#open_data_section,NaN,Impact Open Data,NaN,NaN,NaN,NaN,NaN,http://dbpedia.org/resource/Keserwan_District,https://dbpedia.org/page/Mount_Lebanon_Governorate,Aajaltoun,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Educational_Level-Lebanon-2023
